pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_31968,86,eerste set,Kempen,0,HOL,binnen,244957.907053986,203945.425320734,31370
Km_32023.8,108,eerste set,Kempen,0.019927125581892,HOL,binnen,240764.96660297,204504.763624456,31370
Km_32042,491,eerste set,Kempen,0,HOL,binnen,246722.136436921,202898.770334788,31370
Km_3217.2.2,4,eerste set,Kempen,0,HOL,binnen,224682.077938867,202113.754123366,31370
Km_32295.7,149,eerste set,Kempen,0.0140285242438589,HOL,binnen,227279.237102686,199384.592705416,31370
Km_32418.1,229,eerste set,Kempen,0,HOL,binnen,178760.301405871,195904.667760466,31370
Km_32473.5,222,eerste set,Kempen,0,HOL,binnen,241630.992674543,203364.09391916,31370
Km_32543.6,118,eerste set,Kempen,0,HOL,binnen,202268.812941404,225503.979967366,31370
Km_32800.6,159,eerste set,Kempen,0,HOL,binnen,182698.372359528,226543.966211418,31370
Km_32900.6,444,eerste set,Kempen,0,HOL,binnen,231182.002431429,191829.909460769,31370
Km_32923.1,465,eerste set,Kempen,0,HOL,binnen,177771.493260427,196927.80760226,31370
Km_32959.4,88,eerste set,Kempen,0,HOL,binnen,178384.97719801,198352.992275959,31370
Km_33270.1,312,eerste set,Kempen,0,HOL,binnen,176497.284716434,202283.549587796,31370
Km_34592.1,144,eerste set,Kempen,0,HOL,binnen,178101.63531305,212900.469026555,31370
Km_35113.3,110,eerste set,Kempen,0,HOL,binnen,224340.36683251,218457.729170165,31370
Km_35554.10,416,eerste set,Kempen,0,HOL,binnen,237165.660580538,207287.554147763,31370
Km_35565.7,226,eerste set,Kempen,0,HOL,binnen,234828.09633736,210687.914756503,31370
Km_35569.9,358,eerste set,Kempen,0.101239570801719,HOL,binnen,235546.215584961,210923.085581631,31370
Km_36385,139,eerste set,Kempen,0,HOL,binnen,180307.996469435,214090.861919453,31370
Km_36728.1.3,176,eerste set,Kempen,0,HOL,binnen,205777.811546366,182835.235581921,31370
Km_3702,504,eerste set,Kempen,0,HOL,binnen,195828.945469384,228335.511411116,31370
Km_3716.1,71,eerste set,Kempen,0,HOL,binnen,196417.318653064,227965.739117857,31370
Km_37892.2,170,eerste set,Kempen,0,HOL,binnen,228382.131498982,206794.550403516,31370
Km_38328.20,503,eerste set,Kempen,0.00301982210305117,HOL,binnen,239164.224563608,207069.867473757,31370
Km_38345.5,494,eerste set,Kempen,0,HOL,binnen,238091.536155066,207753.902301238,31370
Km_38830,235,eerste set,Kempen,0,HOL,binnen,237462.199735302,211019.832691162,31370
Km_38842.2,16,eerste set,Kempen,0,HOL,binnen,238332.453232842,209936.576550737,31370
Km_38993.1,519,eerste set,Kempen,0,HOL,binnen,179214.634277451,198342.461696854,31370
Km_39189.3,527,eerste set,Kempen,0,HOL,binnen,241269.513999651,207231.587598285,31370
Km_40368.4,195,eerste set,Kempen,0.0386317377922204,HOL,binnen,200586.76895219,185329.649640532,31370
Km_40750,224,eerste set,Kempen,0,HOL,binnen,229918.513990983,202916.34156664,31370
Km_40816.2,422,eerste set,Kempen,0,HOL,binnen,225137.035677688,196441.06766094,31370
Km_40914.5,306,eerste set,Kempen,0,HOL,binnen,236312.324042332,210930.210591604,31370
Km_40936.1,263,eerste set,Kempen,0,HOL,binnen,228696.780817601,208453.619261086,31370
Km_41188.4,241,eerste set,Kempen,0,HOL,binnen,206615.027551061,185134.078846232,31370
Km_41488.1,70,eerste set,Kempen,0,HOL,binnen,158458.966572804,236552.506521932,31370
Km_41960,24,eerste set,Kempen,0.0075138071262527,HOL,binnen,235827.354726711,209879.605112772,31370
Km_42106.2,211,eerste set,Kempen,0,HOL,binnen,241156.991524038,202842.378545718,31370
Km_42110.5,3,eerste set,Kempen,0,HOL,binnen,243026.50082891,203253.596877462,31370
Km_42121.4,389,eerste set,Kempen,0,HOL,binnen,242089.206897155,203877.462278896,31370
Km_42179,62,eerste set,Kempen,0,HOL,binnen,227291.323957426,204125.714378938,31370
Km_4227,449,eerste set,Kempen,0,HOL,binnen,185812.369294375,189825.531262193,31370
Km_42366.1,64,eerste set,Kempen,0.0196553135290576,HOL,binnen,233405.483904302,212278.914703217,31370
Km_42680.5,489,eerste set,Kempen,0,HOL,binnen,194707.74963055,208324.443381049,31370
Km_42762.14,483,eerste set,Kempen,0,HOL,binnen,161300.530135168,232486.426075098,31370
Km_42762.31,277,eerste set,Kempen,0,HOL,binnen,160555.753356885,232061.687633522,31370
Km_42765.5,451,eerste set,Kempen,0,HOL,binnen,159947.432105728,232861.64257456,31370
Km_4281,228,eerste set,Kempen,0,HOL,binnen,184043.417242028,186315.101555922,31370
Km_43072,251,eerste set,Kempen,0,HOL,binnen,231351.288655682,199841.927395758,31370
Km_43228.7,160,eerste set,Kempen,0.00552226976322716,HOL,binnen,225657.262393843,219289.784044872,31370
Km_43435.6,162,eerste set,Kempen,0,HOL,binnen,223741.919442535,197053.236647724,31370
Km_43663.2,178,eerste set,Kempen,0,HOL,binnen,245514.700619071,205965.005964085,31370
Km_43699.4,81,eerste set,Kempen,0.0481485910850335,HOL,binnen,237482.270028634,210242.120130768,31370
Km_43877,85,eerste set,Kempen,0,HOL,binnen,243800.310099522,196106.369155344,31370
Km_44412.8,286,eerste set,Kempen,0,HOL,binnen,244864.716432116,201773.442675631,31370
Km_4479.14,258,eerste set,Kempen,0,HOL,binnen,198814.082759063,236176.856268652,31370
Km_44937.3,475,eerste set,Kempen,0.017455171518961,HOL,binnen,228589.753659546,200616.728668494,31370
Km_45034.2,302,eerste set,Kempen,0,HOL,binnen,228315.101057556,202585.507015438,31370
Km_45036,142,eerste set,Kempen,0,HOL,binnen,227878.126407222,202042.821813739,31370
Km_4513.2,487,eerste set,Kempen,0,HOL,binnen,193291.545409053,226904.941153459,31370
Km_45192.17,294,eerste set,Kempen,0,HOL,binnen,231030.877594895,193066.083697155,31370
Km_45424.1.3,109,eerste set,Kempen,0,HOL,binnen,224503.22107732,195972.917585812,31370
Km_45429.4,484,eerste set,Kempen,0,HOL,binnen,222827.27191981,197574.969944746,31370
Km_45703.4,313,eerste set,Kempen,0,HOL,binnen,246853.645691673,197860.563512674,31370
Km_45712,330,eerste set,Kempen,0,HOL,binnen,247813.766281547,199162.703801273,31370
Km_45838.1,384,eerste set,Kempen,0,HOL,binnen,179114.728627274,213724.440611373,31370
Km_46074.6,350,eerste set,Kempen,0.285711865290819,HOL,binnen,202348.483474438,186176.47264609,31370
Km_46164.2,392,eerste set,Kempen,0,HOL,binnen,248173.387680602,205464.570624826,31370
Km_47300.1,505,eerste set,Kempen,0,HOL,binnen,160169.894826611,234438.790298996,31370
Km_47425.2,150,eerste set,Kempen,0,HOL,binnen,159605.360199362,237374.945023232,31370
Km_47596.4,254,eerste set,Kempen,0,HOL,binnen,246462.942777305,195884.872271769,31370
Km_48322,23,eerste set,Kempen,0.0174013859681383,HOL,binnen,230035.825585211,203536.288994492,31370
